Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6325     671.75487045],[ 0.49743718 42.9446107 ],[  7.         542.15919963],[  9.         771.64900361],"[9, 6, 24, 21, 16, 5, 1, 3, 15, 19, 23, 18, 13, 10, 7, 22, 20, 8, 25, 2, 4, 11, 12, 14, 17]","(7.0, 542.1591996285246)"
1,342,[  7.4425     626.54787242],[ 0.49668275 25.53127999],[  7.         542.15919963],[  8.         663.92577331],"[9, 6, 24, 21, 16, 5, 1, 3, 15, 19, 23, 18, 13, 10, 7, 22, 20, 8, 25, 2, 4, 11, 12, 14, 17]","(7.0, 542.1591996285246)"
2,322,[  7.3725     601.32971126],[ 0.48347053 21.44446932],[  7.         496.88805028],[  8.         626.07424891],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 1, 24, 4, 6, 25, 22]","(7.0, 496.8880502818876)"
3,334,[  7.2475     581.49762836],[ 0.43155967 18.05703604],[  7.         496.88805028],[  8.         606.49782066],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 1, 24, 4, 6, 25, 22]","(7.0, 496.8880502818876)"
4,330,[  7.185      564.09881136],[ 0.38829757 16.1159242 ],[  7.         496.88805028],[  8.         585.33966228],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 1, 24, 4, 6, 25, 22]","(7.0, 496.8880502818876)"
5,356,[  7.0825     549.56467051],[ 0.27512497 15.77073401],[  7.       487.359077],[  8.         570.30153139],"[9, 2, 10, 23, 21, 7, 8, 1, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 20, 24, 4, 6, 25, 22]","(7.0, 487.3590770009534)"
6,338,[  7.015      536.22727742],[ 0.12155246 13.62243509],[  7.       487.359077],[  8.         544.87261361],"[9, 2, 10, 23, 21, 7, 8, 1, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 20, 24, 4, 6, 25, 22]","(7.0, 487.3590770009534)"
7,356,[  7.0225     527.52403215],[ 0.1483029  17.07055897],[  7.       487.359077],[  8.         542.15919963],"[9, 2, 10, 23, 21, 7, 8, 1, 19, 18, 13, 17, 16, 14, 12, 15, 11, 5, 3, 20, 24, 4, 6, 25, 22]","(7.0, 487.3590770009534)"
8,354,[  7.0325     512.53860581],[ 0.17732386 16.46380191],[  7.         469.50876352],[  8.         534.68067265],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 469.50876352381096)"
9,322,[  7.         496.37952692],[0.        4.0461383],[  7.         469.50876352],[  7.        507.7252071],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 469.50876352381096)"
10,342,[  7.         494.05293478],[0.         5.33482636],[  7.         469.44791754],[  7.         496.88805028],"[9, 2, 10, 23, 21, 7, 8, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 3, 11, 1, 4, 6, 25, 22]","(7.0, 469.44791754234546)"
11,322,[  7.         490.40973122],[0.         6.68379271],[  7.         463.43149787],[  7.         496.88805028],"[9, 2, 10, 23, 21, 7, 8, 5, 19, 18, 13, 17, 16, 14, 12, 15, 11, 20, 24, 1, 3, 4, 6, 25, 22]","(7.0, 463.4314978720154)"
12,328,[  7.         485.24748738],[0.         6.36208469],[  7.         463.43149787],[  7.         492.85187253],"[9, 2, 10, 23, 21, 7, 8, 5, 19, 18, 13, 17, 16, 14, 12, 15, 11, 20, 24, 1, 3, 4, 6, 25, 22]","(7.0, 463.4314978720154)"
13,324,[  7.         481.45012455],[0.         8.03329218],[  7.         459.66293319],[  7.       487.359077],"[9, 2, 10, 23, 8, 7, 21, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 3, 11, 1, 4, 6, 25, 22]","(7.0, 459.6629331878425)"
14,350,[  7.         475.15635993],[0.         7.56002701],[  7.         459.66293319],[  7.       487.359077],"[9, 2, 10, 23, 8, 7, 21, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 3, 11, 1, 4, 6, 25, 22]","(7.0, 459.6629331878425)"
15,332,[  7.         468.63870356],[0.         2.34574552],[  7.         457.40774356],[  7.        471.0798217],"[9, 2, 10, 23, 8, 7, 21, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 6, 11, 1, 4, 3, 25, 22]","(7.0, 457.40774355607545)"
16,336,[  7.         467.23697616],[0.         3.14220237],[  7.         457.40774356],[  7.         469.50876352],"[9, 2, 10, 23, 8, 7, 21, 20, 19, 18, 13, 17, 16, 14, 12, 15, 24, 5, 6, 11, 1, 4, 3, 25, 22]","(7.0, 457.40774355607545)"
17,322,[  7.         464.80643885],[0.         3.16588306],[  7.         452.74371253],[  7.         469.44791754],"[9, 2, 10, 23, 21, 7, 8, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 452.743712526313)"
18,348,[  7.         461.96594114],[0.        2.0550175],[  7.         452.74371253],[  7.        464.2542108],"[9, 2, 10, 23, 21, 7, 8, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 452.743712526313)"
19,344,[  7.         460.20452327],[0.         2.47957978],[  7.         436.05928989],[  7.         463.43149787],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 436.05928989338685)"
20,324,[  7.         458.42398137],[0.         2.70825688],[  7.         436.05928989],[  7.         459.66293319],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 436.05928989338685)"
21,338,[  7.         456.83524961],[0.         3.69247937],[  7.         436.05928989],[  7.         459.62765456],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 436.05928989338685)"
22,338,[  7.        454.4761147],[0.         4.80733637],[  7.         436.05928989],[  7.         457.40774356],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 4, 6, 25, 22]","(7.0, 436.05928989338685)"
23,322,[  7.         451.33304315],[0.        5.9962603],[  7.         433.09899236],[  7.         456.01106409],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 11, 6, 4, 25, 22]","(7.0, 433.0989923577962)"
24,322,[  7.         446.67634372],[0.         7.27127259],[  7.         431.75531649],[  7.         452.74371253],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 6, 4, 11, 25, 22]","(7.0, 431.75531649024725)"
25,332,[  7.         440.22653656],[0.         5.94432773],[  7.         431.75531649],[  7.         451.29300311],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 6, 4, 11, 25, 22]","(7.0, 431.75531649024725)"
26,326,[  7.         435.74872465],[0.        0.9790184],[  7.         431.40000143],[  7.         436.05928989],"[11, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 9, 4, 6, 25, 22]","(7.0, 431.4000014269956)"
27,346,[  7.         435.35885724],[0.        1.4084047],[  7.         428.85329083],[  7.         436.05928989],"[10, 8, 11, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 6, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 428.85329082502085)"
28,344,[  7.         434.47092504],[0.         1.79318139],[  7.         428.85329083],[  7.         436.05928989],"[10, 8, 11, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 6, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 428.85329082502085)"
29,318,[  7.         432.67730633],[0.         1.11715049],[  7.         428.85329083],[  7.         435.34754432],"[10, 8, 11, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 6, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 428.85329082502085)"
30,340,[  7.         431.80029252],[0.         0.84006285],[  7.         427.58522916],[  7.         433.09899236],"[9, 8, 10, 23, 21, 7, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 24, 5, 3, 1, 4, 6, 11, 25, 22]","(7.0, 427.5852291647889)"
31,342,[  7.        431.3478017],[0.         0.92439668],[  7.         426.93795148],[  7.         431.75531649],"[11, 8, 10, 20, 21, 7, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 24, 5, 3, 1, 4, 9, 6, 25, 22]","(7.0, 426.9379514756127)"
32,344,[  7.         430.86808565],[0.         1.23015913],[  7.         426.93795148],[  7.         431.75531649],"[11, 8, 10, 20, 21, 7, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 24, 5, 3, 1, 4, 9, 6, 25, 22]","(7.0, 426.9379514756127)"
33,356,[  7.         429.98644425],[0.         1.37476529],[  7.         425.31311812],[  7.         431.45488799],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 425.313118123681)"
34,346,[  7.         428.70600585],[0.         0.75474722],[  7.         425.31311812],[  7.         430.63010998],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 425.313118123681)"
35,340,[  7.         428.25015443],[0.         0.83304106],[  7.         425.31311812],[  7.         428.85329083],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 425.313118123681)"
36,328,[  7.         427.53700029],[0.         0.79071185],[  7.         425.31311812],[  7.         428.85329083],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 425.313118123681)"
37,336,[  7.         426.98427333],[0.         0.68958253],[  7.         425.31311812],[  7.         427.58522916],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 9, 4, 24, 25, 22]","(7.0, 425.313118123681)"
38,336,[  7.         426.45441143],[0.         0.70857648],[  7.        423.1098062],[  7.         426.93795148],"[11, 8, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.10980619632005)"
39,330,[  7.         425.90828826],[0.         0.73746237],[  7.        423.1098062],[  7.         426.93795148],"[11, 8, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.10980619632005)"
40,340,[  7.         425.26633616],[0.         0.33048977],[  7.        423.0219892],[  7.         425.64047539],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.02198920036744)"
41,326,[  7.         425.19768273],[0.         0.48496384],[  7.        423.0219892],[  7.         425.31311812],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.02198920036744)"
42,354,[  7.         425.03786419],[0.         0.71667318],[  7.        423.0219892],[  7.         425.31311812],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.02198920036744)"
43,342,[  7.         424.71533397],[0.         0.96082258],[  7.        423.0219892],[  7.         425.31311812],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.02198920036744)"
44,350,[  7.         424.07308306],[0.         1.05918497],[  7.        423.0219892],[  7.         425.31311812],"[10, 8, 11, 23, 21, 6, 2, 13, 19, 18, 20, 12, 16, 14, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 423.02198920036744)"
45,348,[  7.         423.08249779],[0.         0.11246784],[  7.         420.96814249],[  7.        423.1098062],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.96814249274234)"
46,348,[  7.         423.05343304],[0.         0.15416171],[  7.         420.96814249],[  7.        423.1098062],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.96814249274234)"
47,338,[  7.         422.99392054],[0.         0.23288677],[  7.         420.96814249],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.96814249274234)"
48,326,[  7.         422.95318706],[0.         0.35874979],[  7.         420.96814249],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.96814249274234)"
49,332,[  7.         422.87172011],[0.         0.51737457],[  7.         420.96814249],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.96814249274234)"
50,350,[  7.         422.72718552],[0.         0.68533933],[  7.         420.48274027],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 12, 14, 16, 23, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.482740265805)"
51,324,[  7.         422.36383613],[0.         0.89780465],[  7.         420.48274027],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 12, 14, 16, 23, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.482740265805)"
52,342,[  7.         421.72503238],[0.         0.87317812],[  7.         420.48274027],[  7.        423.0219892],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 12, 14, 16, 23, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 420.482740265805)"
53,354,[  7.         420.94221793],[0.         0.13602304],[  7.         419.92209393],[  7.         421.70643972],"[8, 11, 10, 20, 21, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 419.9220939259263)"
54,330,[  7.         420.90107949],[0.         0.20183402],[  7.        418.8731176],[  7.         420.96814249],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 418.8731175986351)"
55,360,[  7.         420.82558484],[0.         0.31548438],[  7.        418.8731176],[  7.         420.96814249],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 418.8731175986351)"
56,360,[  7.         420.66967887],[0.       0.426855],[  7.        418.8731176],[  7.         420.96814249],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 418.8731175986351)"
57,336,[  7.         420.39456669],[0.         0.44659543],[  7.        418.8731176],[  7.         420.96814249],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 418.8731175986351)"
58,334,[  7.         420.17791228],[0.         0.54311934],[  7.        418.8731176],[  7.         420.48274027],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 14, 16, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 418.8731175986351)"
59,348,[  7.         419.90275604],[0.        0.6361135],[  7.         417.82706903],[  7.         420.48274027],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
60,346,[  7.         419.39621358],[0.        0.5349022],[  7.         417.82706903],[  7.         419.92209393],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
61,340,[  7.         418.89230163],[0.         0.22921895],[  7.         417.82706903],[  7.         419.92209393],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
62,344,[  7.        418.8224049],[0.         0.22007982],[  7.         417.82706903],[  7.        418.8731176],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
63,344,[  7.         418.75618958],[0.        0.3212436],[  7.         417.82706903],[  7.        418.8731176],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
64,346,[  7.         418.61712708],[0.         0.43667089],[  7.         417.82706903],[  7.        418.8731176],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
65,352,[  7.         418.29330867],[0.        0.4931021],[  7.         417.82706903],[  7.        418.8731176],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
66,324,[  7.         417.84909582],[0.         0.10818516],[  7.         417.82706903],[  7.         418.38771537],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
67,340,[  7.         417.82706903],[0.00000000e+00 1.47792889e-12],[  7.         417.82706903],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 7, 5, 3, 1, 4, 9, 24, 25, 22]","(7.0, 417.827069031819)"
68,344,[  7.         417.81654082],[0.        0.2103008],[  7.        413.6157857],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 9, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 413.6157857018215)"
69,352,[  7.         417.81654082],[0.        0.2103008],[  7.        413.6157857],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 9, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 413.6157857018215)"
70,342,[  7.         417.80601262],[0.         0.29703731],[  7.        413.6157857],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 9, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 413.6157857018215)"
71,342,[  7.         417.76389978],[0.         0.51189184],[  7.        413.6157857],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 9, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 413.6157857018215)"
72,338,[  7.        417.6586177],[0.         0.82523963],[  7.        413.6157857],[  7.         417.82706903],"[8, 11, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 9, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 413.6157857018215)"
